episode,problem_id,subproblem_id,series,block_count,job_count,best_source,objective_scope,loss,score_json,phase2_feedback_score_json,learning_score_json,candidate_count
1,EP00001,NP_NC,NP|NC,14,82,wo_first_balanced,series_only,2.903820753097534,"[1.833333333, 297.075746171, 6.75]",[],"[1.833333333, 297.075746171, 6.75]",67
1,EP00001,FN_FL,FN|FL,8,75,agent_sample_5,series_only,2.0186147689819336,"[1.5, 72.139772772, 1.5]",[],"[1.5, 72.139772772, 1.5]",67
2,EP00002,NP_NC,NP|NC,23,119,bevel_first_balanced,series_only,3.3435585498809814,"[0.25, 243.133727203, 3.75]",[],"[0.25, 243.133727203, 3.75]",67
2,EP00002,FN_FL,FN|FL,30,180,cut_first_balanced,series_only,3.1900219917297363,"[1.0, 111.968750074, 6.5]",[],"[1.0, 111.968750074, 6.5]",67
3,EP00003,NP_NC,NP|NC,12,58,cut_first_balanced,series_only,2.7425575256347656,"[0.833333333, 87.424542622, 3.75]",[],"[0.833333333, 87.424542622, 3.75]",67
3,EP00003,FN_FL,FN|FL,14,68,bevel_first_balanced,series_only,2.4643516540527344,"[1.0, 138.539831335, 3.5]",[],"[1.0, 138.539831335, 3.5]",67
4,EP00004,NP_NC,NP|NC,13,58,bevel_first_balanced,series_only,2.820798873901367,"[1.0, 91.554730708, 2.833333333]",[],"[1.0, 91.554730708, 2.833333333]",67
4,EP00004,FN_FL,FN|FL,16,95,cut_first_balanced,series_only,2.559372901916504,"[1.5, 124.467548736, 8.0]",[],"[1.5, 124.467548736, 8.0]",67
5,EP00005,NP_NC,NP|NC,40,170,bevel_first_balanced,series_only,3.8325462341308594,"[0.5, 456.898606263, 5.333333333]",[],"[0.5, 456.898606263, 5.333333333]",67
5,EP00005,FN_FL,FN|FL,33,189,cut_first_balanced,series_only,3.2082247734069824,"[0.5, 125.208498608, 11.0]",[],"[0.5, 125.208498608, 11.0]",67
6,EP00006,NP_NC,NP|NC,19,74,bevel_first_balanced,series_only,3.1527414321899414,"[0.5, 78.103656268, 4.083333333]",[],"[0.5, 78.103656268, 4.083333333]",67
6,EP00006,FN_FL,FN|FL,20,115,agent_sample_21,series_only,2.785290479660034,"[0.5, 134.105181866, 7.0]",[],"[0.5, 134.105181866, 7.0]",67
7,EP00007,NP_NC,NP|NC,49,226,wo_first_balanced,series_only,4.021371364593506,"[0.166666667, 196.886424643, 10.583333333]",[],"[0.166666667, 196.886424643, 10.583333333]",67
7,EP00007,FN_FL,FN|FL,51,253,cut_first_balanced,series_only,3.5919525623321533,"[0.5, 383.947104591, 9.0]",[],"[0.5, 383.947104591, 9.0]",67
8,EP00008,NP_NC,NP|NC,37,139,wo_first_balanced,series_only,3.7514052391052246,"[0.333333333, 122.485152656, 12.0]",[],"[0.333333333, 122.485152656, 12.0]",67
8,EP00008,FN_FL,FN|FL,51,323,wo_first_balanced,series_only,3.5591471195220947,"[0.5, 106.592607581, 12.0]",[],"[0.5, 106.592607581, 12.0]",67
9,EP00009,NP_NC,NP|NC,53,280,bevel_first_balanced,series_only,4.098023891448975,"[0.333333333, 555.25872072, 5.75]",[],"[0.333333333, 555.25872072, 5.75]",67
9,EP00009,FN_FL,FN|FL,52,324,wo_first_balanced,series_only,3.56264591217041,"[1.0, 21.225127436, 6.0]",[],"[1.0, 21.225127436, 6.0]",67
10,EP00010,NP_NC,NP|NC,42,204,bevel_first_balanced,series_only,3.8534913063049316,"[0.5, 259.407078016, 3.0]",[],"[0.5, 259.407078016, 3.0]",67
10,EP00010,FN_FL,FN|FL,55,307,wo_first_balanced,series_only,3.593559741973877,"[0.5, 125.459660797, 9.5]",[],"[0.5, 125.459660797, 9.5]",67
11,EP00011,NP_NC,NP|NC,17,52,bevel_first_balanced,series_only,3.0189716815948486,"[0.083333333, 134.712542855, 6.0]",[],"[0.083333333, 134.712542855, 6.0]",67
11,EP00011,FN_FL,FN|FL,23,118,agent_sample_53,series_only,2.8629274368286133,"[1.0, 46.312184691, 10.5]",[],"[1.0, 46.312184691, 10.5]",67
12,EP00012,NP_NC,NP|NC,24,85,bevel_first_balanced,series_only,3.329465627670288,"[1.083333333, 89.960101406, 2.083333333]",[],"[1.083333333, 89.960101406, 2.083333333]",67
12,EP00012,FN_FL,FN|FL,29,161,agent_sample_29,series_only,3.153637170791626,"[0.5, 114.361693688, 2.5]",[],"[0.5, 114.361693688, 2.5]",67
13,EP00013,NP_NC,NP|NC,50,304,cut_first_balanced,series_only,4.025757312774658,"[0.75, 318.331342333, 2.75]",[],"[0.75, 318.331342333, 2.75]",67
13,EP00013,FN_FL,FN|FL,59,360,agent_sample_21,series_only,3.7703845500946045,"[1.0, 385.374706481, 10.0]",[],"[1.0, 385.374706481, 10.0]",67
14,EP00014,NP_NC,NP|NC,38,210,wo_first_balanced,series_only,3.7357735633850098,"[0.75, 222.842561237, 6.666666667]",[],"[0.75, 222.842561237, 6.666666667]",67
14,EP00014,FN_FL,FN|FL,47,238,bevel_first_balanced,series_only,3.48869252204895,"[0.0, 248.530006894, 5.5]",[],"[0.0, 248.530006894, 5.5]",67
15,EP00015,NP_NC,NP|NC,10,74,cut_first_balanced,series_only,2.4566879272460938,"[1.0, 165.260872668, 5.166666667]",[],"[1.0, 165.260872668, 5.166666667]",67
15,EP00015,FN_FL,FN|FL,17,123,bevel_first_balanced,series_only,2.478853940963745,"[0.5, 97.251236891, 3.0]",[],"[0.5, 97.251236891, 3.0]",67
16,EP00016,NP_NC,NP|NC,35,196,bevel_first_balanced,series_only,3.670894145965576,"[0.5, 138.248655541, 9.0]",[],"[0.5, 138.248655541, 9.0]",67
16,EP00016,FN_FL,FN|FL,46,281,cut_first_balanced,series_only,3.3219008445739746,"[0.5, 25.931185342, 12.0]",[],"[0.5, 25.931185342, 12.0]",67
17,EP00017,NP_NC,NP|NC,36,125,wo_first_balanced,series_only,3.645549774169922,"[0.333333333, 188.551198537, 11.0]",[],"[0.333333333, 188.551198537, 11.0]",67
17,EP00017,FN_FL,FN|FL,35,167,cut_first_balanced,series_only,3.011319398880005,"[0.5, 32.779547864, 5.0]",[],"[0.5, 32.779547864, 5.0]",67
18,EP00018,NP_NC,NP|NC,46,211,bevel_first_balanced,series_only,3.8868746757507324,"[0.333333333, 609.277803837, 8.25]",[],"[0.333333333, 609.277803837, 8.25]",67
18,EP00018,FN_FL,FN|FL,50,322,cut_first_balanced,series_only,3.4245083332061768,"[1.0, 212.849950415, 9.5]",[],"[1.0, 212.849950415, 9.5]",67
19,EP00019,NP_NC,NP|NC,43,203,cut_first_balanced,series_only,3.8509442806243896,"[0.5, 98.847468344, 7.416666667]",[],"[0.5, 98.847468344, 7.416666667]",67
19,EP00019,FN_FL,FN|FL,48,282,cut_first_balanced,series_only,3.3078222274780273,"[0.0, 401.898230152, 8.5]",[],"[0.0, 401.898230152, 8.5]",67
20,EP00020,NP_NC,NP|NC,44,206,wo_first_balanced,series_only,3.8887877464294434,"[0.083333333, 484.819174286, 11.666666667]",[],"[0.083333333, 484.819174286, 11.666666667]",67
20,EP00020,FN_FL,FN|FL,58,340,agent_sample_23,series_only,3.5481481552124023,"[0.0, 154.752830939, 14.5]",[],"[0.0, 154.752830939, 14.5]",67
21,EP00021,NP_NC,NP|NC,21,91,cut_first_balanced,series_only,3.1252939701080322,"[0.75, 92.829087925, 3.25]",[],"[0.75, 92.829087925, 3.25]",67
21,EP00021,FN_FL,FN|FL,17,89,agent_sample_55,series_only,2.6363301277160645,"[0.5, 34.276716217, 6.5]",[],"[0.5, 34.276716217, 6.5]",67
22,EP00022,NP_NC,NP|NC,43,165,wo_first_balanced,series_only,3.805880069732666,"[0.333333333, 410.961095232, 10.75]",[],"[0.333333333, 410.961095232, 10.75]",67
22,EP00022,FN_FL,FN|FL,49,362,agent_sample_20,series_only,3.4255056381225586,"[1.0, 214.469491179, 4.5]",[],"[1.0, 214.469491179, 4.5]",67
23,EP00023,NP_NC,NP|NC,25,131,bevel_first_balanced,series_only,3.159388780593872,"[0.5, 85.520871219, 5.25]",[],"[0.5, 85.520871219, 5.25]",67
23,EP00023,FN_FL,FN|FL,26,125,cut_first_balanced,series_only,2.5938756465911865,"[0.5, 48.734391761, 7.5]",[],"[0.5, 48.734391761, 7.5]",67
24,EP00024,NP_NC,NP|NC,32,146,bevel_first_balanced,series_only,3.6039576530456543,"[0.916666667, 153.018729944, 10.75]",[],"[0.916666667, 153.018729944, 10.75]",67
24,EP00024,FN_FL,FN|FL,39,235,agent_sample_45,series_only,3.18380069732666,"[0.5, 73.389040602, 4.5]",[],"[0.5, 73.389040602, 4.5]",67
25,EP00025,NP_NC,NP|NC,28,158,bevel_first_balanced,series_only,3.3896303176879883,"[1.083333333, 74.930611583, 9.916666667]",[],"[1.083333333, 74.930611583, 9.916666667]",67
25,EP00025,FN_FL,FN|FL,27,150,agent_sample_22,series_only,2.8892881870269775,"[1.0, 33.596728186, 4.0]",[],"[1.0, 33.596728186, 4.0]",67
26,EP00026,NP_NC,NP|NC,23,146,wo_first_balanced,series_only,2.9861035346984863,"[0.5, 310.809692953, 4.416666667]",[],"[0.5, 310.809692953, 4.416666667]",67
26,EP00026,FN_FL,FN|FL,33,213,cut_first_balanced,series_only,2.8974599838256836,"[0.5, 35.630899786, 10.0]",[],"[0.5, 35.630899786, 10.0]",67
